stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420035151002",43,46,3,0.23,85,91,6,0.92,82,74,8,1.18,146,134,12,3.16,125,127,2,0.45,14,14,0,0.00,60,69,9,0.97
"420035151003",1,1,0,0.00,42,42,0,0.00,81,85,4,0.99,71,66,5,1.09,52,60,8,1.28,30,31,1,0.09,49,41,8,1.20
"420035152001",0,0,0,0.00,167,163,4,1.14,82,80,2,0.28,125,124,1,0.21,75,81,6,0.77,71,71,0,0.00,64,65,1,0.11
"420035152002",62,55,7,0.79,44,48,4,0.32,59,57,2,0.21,148,144,4,1.07,88,77,11,1.76,93,121,28,4.73,57,49,8,0.83
"420035153001",0,0,0,0.00,14,11,3,0.12,100,95,5,1.42,56,63,7,1.12,47,39,8,1.07,103,107,4,1.17,31,36,5,0.44
"420035153002",11,18,7,0.13,26,24,2,0.09,116,109,7,1.36,110,109,1,0.18,135,131,4,0.91,78,80,2,0.26,119,124,5,1.00
"420035154011",26,32,6,0.34,105,120,15,3.48,38,31,7,0.59,45,46,1,0.10,87,84,3,0.58,41,47,6,0.54,111,93,18,4.41
"420035154012",9,11,2,0.06,54,51,3,0.54,112,114,2,0.75,41,46,5,0.69,40,39,1,0.13,22,22,0,0.00,21,16,5,0.35
"420035154013",11,7,4,0.13,67,63,4,0.78,44,46,2,0.26,58,55,3,0.50,102,110,8,2.37,32,40,8,0.74,31,24,7,0.63
"420035161001",5,8,3,0.02,158,173,15,3.28,124,133,9,1.55,132,124,8,1.46,162,165,3,0.67,79,70,9,0.98,62,49,13,1.12
"420035162001",0,0,0,0.00,42,33,9,1.02,123,140,17,5.65,57,53,4,0.62,60,55,5,0.81,34,33,1,0.09,54,56,2,0.29
"420035162002",5,2,3,0.03,113,114,1,0.23,112,121,9,2.07,61,56,5,0.63,107,119,12,2.64,44,30,14,1.26,45,45,0,0.00
"420035170001",0,0,0,0.00,30,19,11,1.09,37,30,7,0.86,65,66,1,0.22,69,68,1,0.23,33,44,11,1.20,68,75,7,1.58
